spk;lab;pos;lenSyllxpos;expectedShapes;expectedShape;observedShape;expectedStressPosition;observedStressPosition;expectedIsObserved;globalDeciles;stressSyllableDecile;meanUnstressSyllablesDeciles;F0shape;dBshape;durshape;syllF0;F0Deciles;stressSyllableDecileF0;meanUnstressSyllablesDecilesF0;sylldB;dBDeciles;stressSyllableDeciledB;meanUnstressSyllablesDecilesdB;sylldur;durDeciles;stressSyllableDeciledur;meanUnstressSyllablesDecilesdur;F0min;F0max;F0sd;syllmfa_equals_syllnuclei;startTime;endTime;file;ID
7_8;among;ADP;2;oO;oO;oO;2;2;1;[38.7, 87.3];87.3;38.7;oO;oO;oO;[106.72243268508203, 114.0205197345232];[59, 71];71;59;[66.07588138377083, 73.56008835680622];[25, 97];97;25;[0.05, 0.15];[32, 94];94;32;110.47908477579323;117.61455881423636;2.7461565528263305;False;0.08;0.45;7_8.TextGrid;hAKtrPz
7_8;recent;ADJ;2;Oo;Oo;oO;1;2;0;[50.7, 51.7];50.7;51.7;oO;Oo;Oo;[101.8892688783377, 129.15855178090308];[42, 85];42;85;[68.58194753454669, 67.36453398156783];[52, 39];52;39;[0.08000000000000007, 0.04999999999999993];[58, 31];58;31;126.50010111702927;131.0128020713733;1.7152052680690681;True;0.65;1.09;7_8.TextGrid;CSRHVtj
7_8;ai;NOUN;2;OO;OO;Oo;1;1;0;[69.3, 42.7];69.3;42.7;Oo;Oo;Oo;[103.6032723600808, 102.92142377272218];[47, 46];47;46;[69.2048331880283, 68.38379155977142];[62, 50];62;50;[0.22999999999999998, 0.050000000000000044];[99, 32];99;32;101.7552500591504;103.65636451651524;0.7520388640409698;True;1.09;1.37;7_8.TextGrid;cJavQ2Z
7_8;technology;NOUN;4;oOoo;oOoo;Oooo;2;1;0;[61.3, 57.3, 45, 19.3];57.3;41.86666666666667;Oooo;oOoo;oOoO;[343.1751448064579, 99.78838415307654, 95.39151280656468, 88.91870537872171];[99, 33, 18, 4];33;40.333333333333336;[68.6015067281689, 72.09987387709633, 70.18572991988965, 61.56506630837998];[53, 89, 74, 4];89;43.666666666666664;[0.050000000000000044, 0.07000000000000006, 0.05999999999999983, 0.07000000000000006];[32, 50, 43, 50];50;41.666666666666664;86.32987498325971;90.94258319561177;1.417953015743441;False;1.37;2.02;7_8.TextGrid;hnO7YaM
7_8;keenly;ADV;2;Oo;Oo;oO;1;2;0;[31.7, 50];31.7;50;Oo;oO;oO;[109.36162154685346, 103.73562556632876];[63, 48];63;48;[65.96364613923392, 72.01455986935163];[25, 88];25;88;[0.02999999999999936, 0.040000000000000036];[7, 14];7;14;102.47159751249886;104.78490784827578;0.9892218698250792;False;4.11;4.35;7_8.TextGrid;uSqbs8r
7_8;observing;VERB;3;oOo;oOo;oOo;2;2;1;[53, 71.3, 29.3];71.3;41.15;ooO;oOo;oOo;[100.62602139922092, 102.62744497601068, 103.77325604163883];[37, 45, 48];45;42.5;[72.14585315115187, 72.33415898158846, 66.14484683981794];[89, 90, 26];90;57.5;[0.05000000000000071, 0.11000000000000032, 0.040000000000000036];[33, 79, 14];79;23.5;102.43781709894171;106.20626845236139;1.442388992788575;True;4.35;4.87;7_8.TextGrid;TR7z8Wj
7_8;model;NOUN;2;Oo;Oo;oO;1;2;0;[48.7, 51.3];48.7;51.3;oO;oO;Oo;[94.59819915544674, 105.04788382101489];[15, 52];15;52;[69.21676890512806, 70.00326971062499];[62, 71];62;71;[0.09000000000000075, 0.04999999999999982];[69, 31];69;31;104.87437101808133;105.28931988451733;0.15264822926114624;True;6.74;7.06;7_8.TextGrid;QeDOAEg
7_8;context;NOUN;2;Oo;Oo;oO;1;2;0;[17, 23];17;23;Oo;Oo;oO;[95.79041207944577, 94.91941282580804];[19, 17];19;17;[64.86169952996691, 62.9185506924388];[18, 9];18;9;[0.040000000000000036, 0.05999999999999961];[14, 43];14;43;92.4963324972403;96.64898952699114;1.639457958805551;True;7.06;7.74;7_8.TextGrid;GA3K7g1
7_8;protocol;PROPN;3;Ooo;Ooo;Ooo;1;1;1;[25.7, 10.7, 11.7];25.7;11.2;oOo;Ooo;Ooo;[96.64987519847895, 96.91413432549658, 94.91471329818256];[23, 24, 16];23;20;[67.44077164568941, 57.74789500428873, 63.47274189317917];[40, 1, 12];40;6.5;[0.040000000000000036, 0.02999999999999936, 0.02999999999999936];[14, 7, 7];14;7;92.00093168794272;98.18133580694814;3.105273143108207;True;7.74;8.37;7_8.TextGrid;xjP8B8K
7_8;typical;ADJ;3;Ooo;Ooo;ooO;1;3;0;[59.7, 35.3, 63.7];59.7;49.5;ooO;ooO;oOo;[147.55717550641967, 147.56854467471868, 151.160666472907];[92, 92, 93];92;92.5;[70.17930872210057, 57.12342857671476, 71.56765583508206];[74, 0, 85];74;42.5;[0.03999999999999915, 0.040000000000000924, 0.03999999999999915];[13, 14, 13];13;13.5;150.03090657711766;152.6326577979145;1.2270190639262135;False;9.95;10.43;7_8.TextGrid;GdDACGV
7_8;language;NOUN;2;Oo;Oo;oO;1;2;0;[34, 35.7];34;35.7;Oo;Oo;oO;[100.68475246453956, 97.22522649624293];[37, 25];37;25;[68.95487025917316, 68.23661718452774];[58, 49];58;49;[0.02999999999999936, 0.05000000000000071];[7, 33];7;33;96.16420381559446;97.98926029635571;0.6379577471690798;True;10.85;11.3;7_8.TextGrid;oryaCoe
7_8;models;NOUN;2;Oo;Oo;Oo;1;1;1;[52.7, 13];52.7;13;Oo;Oo;Oo;[96.31452125446897, 89.57229148297776];[22, 5];22;5;[69.49340226886304, 66.23030853555737];[66, 27];66;27;[0.09000000000000163, 0.02999999999999936];[70, 7];70;7;87.49117897934461;92.00299019930746;2.2761300514747176;False;11.3;11.94;7_8.TextGrid;mIeW0Tc
7_8;focus;VERB;2;Oo;Oo;Oo;1;1;1;[61.7, 56.3];61.7;56.3;oO;Oo;oO;[101.37860873643, 101.90748016642894];[39, 42];39;42;[72.0301574801111, 68.9476387005401];[88, 58];88;58;[0.08000000000000007, 0.08999999999999986];[58, 69];58;69;100.57039857307775;103.11303575526041;0.8975373326367602;True;12.03;12.45;7_8.TextGrid;esp3joF
